,time,hrv_rnssd
0,2024-10-02T00:40:00.000,56.216
1,2024-10-02T00:45:00.000,53.383
2,2024-10-02T00:50:00.000,57.212
3,2024-10-02T00:55:00.000,52.371
4,2024-10-02T01:00:00.000,53.569
5,2024-10-02T01:05:00.000,49.811
6,2024-10-02T01:10:00.000,48.542
7,2024-10-02T01:15:00.000,28.397
8,2024-10-02T01:20:00.000,22.592
9,2024-10-02T01:25:00.000,23.302
10,2024-10-02T01:30:00.000,33.462
11,2024-10-02T01:35:00.000,40.502
12,2024-10-02T01:40:00.000,39.72
13,2024-10-02T01:45:00.000,33.72
14,2024-10-02T01:50:00.000,29.084
15,2024-10-02T01:55:00.000,28.104
16,2024-10-02T02:00:00.000,29.984
17,2024-10-02T02:05:00.000,41.404
18,2024-10-02T02:10:00.000,48.193
19,2024-10-02T02:15:00.000,28.909
20,2024-10-02T02:20:00.000,24.624
21,2024-10-02T02:25:00.000,19.395
22,2024-10-02T02:30:00.000,17.254
23,2024-10-02T02:35:00.000,22.661
24,2024-10-02T02:40:00.000,29.515
25,2024-10-02T02:45:00.000,25.926
26,2024-10-02T02:50:00.000,21.952
27,2024-10-02T02:55:00.000,24.327
28,2024-10-02T03:00:00.000,25.586
29,2024-10-02T03:05:00.000,28.908
30,2024-10-02T03:10:00.000,34.619
31,2024-10-02T03:15:00.000,28.745
32,2024-10-02T03:20:00.000,30.845
33,2024-10-02T03:25:00.000,35.054
34,2024-10-02T03:30:00.000,20.763
35,2024-10-02T03:35:00.000,13.014
36,2024-10-02T03:40:00.000,14.018
37,2024-10-02T03:45:00.000,15.568
38,2024-10-02T03:50:00.000,16.708
39,2024-10-02T03:55:00.000,24.079
40,2024-10-02T04:00:00.000,23.743
41,2024-10-02T04:05:00.000,27.054
42,2024-10-02T04:10:00.000,26.213
43,2024-10-02T04:15:00.000,27.544
44,2024-10-02T04:20:00.000,27.053
45,2024-10-02T04:25:00.000,28.505
46,2024-10-02T04:30:00.000,27.592
47,2024-10-02T04:35:00.000,31.182
48,2024-10-02T04:40:00.000,31.239
49,2024-10-02T04:45:00.000,33.09
50,2024-10-02T04:50:00.000,31.126
51,2024-10-02T04:55:00.000,23.957
52,2024-10-02T05:00:00.000,24.897
53,2024-10-02T05:05:00.000,30.557
54,2024-10-02T05:10:00.000,16.975
55,2024-10-02T05:15:00.000,16.742
56,2024-10-02T05:20:00.000,23.792
57,2024-10-02T05:25:00.000,22.876
58,2024-10-02T05:30:00.000,21.173
59,2024-10-02T05:35:00.000,29.928
60,2024-10-02T05:40:00.000,40.99
61,2024-10-02T05:45:00.000,40.204
62,2024-10-02T05:50:00.000,49.538
63,2024-10-02T05:55:00.000,47.342
64,2024-10-02T06:00:00.000,42.852
65,2024-10-02T06:05:00.000,45.118
66,2024-10-02T06:10:00.000,46.833
67,2024-10-02T06:15:00.000,47.613
68,2024-10-02T06:20:00.000,49.01
69,2024-10-02T06:35:00.000,35.738
70,2024-10-02T06:40:00.000,37.538
71,2024-10-02T06:55:00.000,44.429
